,Record Number,Token,predicted,expected
0,1,LOUIS VUITTON,Brand,Brand
1,1,M40096,MPN,MPN
2,1,Handbag,Type,Type
3,1,Priscilla,Model,Model
4,1,Multi-color,Color,Color
5,1,Multi-color,Color,Color
6,1,canvas,Fabric Type,Fabric Type
7,1,canvas,Fabric Type,Fabric Type
8,1,Multi-color,Color,Color
9,1,Multi-color,Color,Color
10,1,canvas,Fabric Type,Fabric Type
11,1,canvas,Fabric Type,Fabric Type
12,11,FOSSIL,Brand,Brand
13,11,GREEN,Color,Color
14,11,PLAID,Pattern,Pattern
15,11,CANVAS,Fabric Type,Fabric Type
16,11,BRIEFCASE,Type,Type
17,11,CROSS BODY,Type,Type
18,11,BAG,Type,Type
19,21,Chanel,Brand,Brand
20,21,Madamoiselle,Product Line,Model
21,21,Lock,Closure,Closure
22,21,Black,Color,Color
23,21,Leather,Material,Material
24,21,Accordian,Model,Accents
25,21,Chain,Handle/Strap Material,Handle/Strap Material
26,21,Flap,Type,Type
27,21,Bag,Type,Type
28,31,MICHAEL KORS,Brand,Brand
29,31,JET SET,Product Line,Product Line
30,31,TRAVEL,Occasion,
31,31,MD DOME,Model,
32,31,LEATHER,Material,Material
33,31,CROSSBODY,Type,Type
34,31,BAG,Type,Type
35,31,BLUSH,Color,Color
36,41,Half Moon,Features,Features
37,41,Bag,Type,Type
38,41,Women,Department,Department
39,41,Shoulder,Type,Type
40,41,Rattan,Material,Material
41,41,Casual,Occasion,Occasion
42,41,Bags,Type,Type
43,41,Travel,Occasion,Occasion
44,41,Lady,Department,Department
45,41,Crossbody,Type,Type
46,41,Purse,Type,Type
47,51,GUCCI,Brand,Brand
48,51,GG,Brand,
49,51,Plus,Model,
50,51,Web Sherry Line,Product Line,Product Line
51,51,Shoulder,Type,Type
52,51,Tote,Type,Type
53,51,Bag,Type,Type
54,51,PVC Leather,Material,Material
55,51,Brown,Color,Color
56,61,Bally Akira,Brand,
57,61,Black,Color,Color
58,61,Leather,Material,Material
59,61,Backpack,Type,Type
60,61,Bag,Type,Type
61,71,Givenchy,Brand,Brand
62,71,Mini,Size,Size
63,71,Pandora,Model,Model
64,71,Shoulder,Type,Type
65,71,Bag,Type,Type
66,71,Calfskin Leather,Material,Material
67,71,Green,Color,Color
68,81,Louis Vuitton,Brand,Brand
69,81,Damier,Product Line,Product Line
70,81,Ebene,Color,Color
71,81,Canvas,Fabric Type,Fabric Type
72,81,GM,Model,Model
73,81,Tote,Type,Type
74,81,Shopper,Type,Type
75,81,Handbag,Type,Type
76,81,N41357,MPN,MPN
77,91,GUCCI,Brand,Brand
78,91,HORSEBIT,Accents,Accents
79,91,HANDBAG,Type,Type
80,101,Natural Leather,Material,Material
81,101,Bag,Type,Type
82,101,Messenger,Type,Type
83,101,Handbag,Type,Type
84,101,Man Women,Department,Department
85,101,Retro,Style,Style
86,101,Brown,Color,Color
87,111,LOUIS VUITTON,Brand,Brand
88,111,Leather,Material,Material
89,111,Vachetta,Material,Material
90,111,Keepall,Product Line,Product Line
91,111,Bandolier,Model,Style
92,111,Shoulder Strap,Handle Style,Handle Style
93,121,Louis Vuitton,Brand,Brand
94,121,Blue,Color,Color
95,121,Poker,Theme,Theme
96,121,Game On Neverfull,Model,
97,121,Pochette,Product Line,Product Line
98,121,Wristlet,Handle Style,Handle Style
99,121,Clutch,Type,Type
100,131,Louis Vuitton,Brand,Brand
101,131,Graceful MM,Model,Model
102,131,Hobo,Type,Type
103,131,Handbag,Type,Type
104,131,Damier,Product Line,Product Line
105,131,Ebene,Color,Color
106,131,Gold-color,Color,Color
107,131,N44045,MPN,MPN
108,141,Louis Vuitton,Brand,Brand
109,141,LV,Brand,Brand
110,141,Tote,Type,Type
111,141,Bag,Type,Type
112,141,Neverfull MM,Model,Model
113,141,Damier,Product Line,Product Line
114,141,Damier,Product Line,Product Line
115,141,Browns,Color,Color
116,141,Damier,Product Line,Product Line
117,141,Damier,Product Line,Product Line
118,151,Chanel,Brand,Brand
119,151,21A,Model,Model
120,151,Red,Color,Color
121,151,Pink,Color,Color
122,151,Camellia,Pattern,Pattern
123,151,Quilted,Accents,Accents
124,151,Velvet,Material,Material
125,151,Mini,Size,Size
126,151,Flap,Type,Type
127,151,Bag,Type,Type
128,161,Metal,Hardware Material,Material
129,161,Leather,Material,
130,161,Shoulder,Type,
131,161,Bag,Type,
132,161,Strap,Handle Style,
133,161,Purse,Type,Type
134,161,Handbag,Type,Type
135,171,BALENCIAGA,Brand,Brand
136,171,Everyday,Occasion,Occasion
137,171,Tote,Type,Type
138,171,Black,Color,Color
139,171,Leather,Material,Material
140,171,Womens,Department,Department
141,171,Handbag,Type,Type
142,181,LOUIS VUITTON,Brand,Brand
143,181,Sac Depaule,Model,Model
144,181,M80155,MPN,MPN
145,181,Noir,Color,Color
146,181,Cuir,Color,Material
147,181,Black,Color,Color
148,181,Epi,Material,Material
149,191,Molshine,Brand,No Tag
150,191,Rhinestone,Accents,Accents
151,191,Handbag,Type,Type
152,191,Clutch,Type,Type
153,191,Purse,Type,Type
154,191,Women Girl,Department,Department
155,201,Louis Vuitton,Brand,Brand
156,201,Outdoor,Occasion,Occasion
157,201,Messenger,Type,Type
158,201,Taigaram,Model,Model
159,211,GUCCI,Brand,Brand
160,211,Logo,Accents,Accents
161,211,GG,Pattern,Pattern
162,211,Hand,Type,Type
163,211,Tote,Type,Type
164,211,Bag,Type,Type
165,211,Canvas,Fabric Type,Fabric Type
166,211,Leather,Material,Material
167,211,Black,Color,Color
168,211,Gold,Color,Color
169,211,Italy,Country/Region of Manufacture,Country/Region of Manufacture
170,211,30SD226,MPN,MPN
171,221,CHRISTIAN DIOR,Brand,Brand
172,221,LADY,Department,Department
173,221,TWEED,Fabric Type,Fabric Type
174,221,LARGE,Size,Size
175,221,HANDBAG,Type,Type
176,231,Travelon,Brand,Brand
