Record Number	Title
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071
8	Womens Handbag
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium
10	Gucci White " HoBo " Vintage Handbag Authenticated Two Tone " Genuine Leather "
