Record Number	Title	Token	Tag
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	LOUIS	Brand
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	VUITTON	
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	M40096	MPN
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	Handbag	Type
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	Priscilla	Model
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	Multi-color	Color
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	canvas	Fabric Type
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	Multi-color	Color
1	LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas	canvas	Fabric Type
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	LOUIS	Brand
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	VUITTON	
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Petit	Model
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Noe	
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Drawstring	Closure
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Shoulder	Type
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Bag	Type
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Monogram	Pattern
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	Leather	Material
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	M42226	MPN
2	LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442	39SD442	No Tag
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	LOUIS	Brand
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	VUITTON	
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Damier	Product Line
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Azur	Color
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Pochette	Product Line
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Bosphore	Model
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Shoulder	Type
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Bag	Type
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	N51112	MPN
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	LV	Brand
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	Auth	No Tag
3	LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523	yt523	No Tag
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	GUCCI	Brand
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Bamboo	Product Line
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	2Way	Features
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Shoulder	Type
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Bag	Type
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Leather	Material
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Brown	Color
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	Auth	No Tag
4	GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002	fm1002	MPN
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Rank	No Tag
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	AB	No Tag
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Vintage	No Tag
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Gucci	Brand
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Sherry	Product Line
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	line	
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	PVC	Material
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Leather	
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Clutch	Type
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	bag	Type
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Brown	Color
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	From	No Tag
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	Japan	No Tag
5	Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128	A128	No Tag
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	1970s	Theme
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	NYC	Country/Region of Manufacture
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Bonnie	Model
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Cashin	
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Coach	Brand
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Brown	Color
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Gray	Color
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Leather	Material
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Saddle	Type
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Pouch	Type
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Crossbody	Type
6	1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag	Bag	Type
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	LOUIS	Brand
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	VUITTON	
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Epi	Material
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Serviette	Model
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Fermoir	
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Business	Occasion
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Bag	Type
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Brown	Color
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	M54358	MPN
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	LV	Brand
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	Auth	No Tag
7	LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071	gt2071	No Tag
8	Womens Handbag	Womens	Department
8	Womens Handbag	Handbag	Type
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Chanel	Brand
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Leo	Model
9	Chanel Leo Lion Flap Bag Chevron Lambskin Medium	Lion	
